id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Neon Echo,pop,chill,0.45,100,0.72,0.65,0.30
12,Broken Neon,Voltline,rock,moody,0.72,138,0.40,0.60,0.12
13,Mountain Echo,Voltline,rock,chill,0.48,110,0.62,0.50,0.55
14,Sunset Café,Slow Stereo,jazz,happy,0.65,95,0.78,0.68,0.82
15,Blue Notes,Slow Stereo,jazz,moody,0.42,85,0.38,0.45,0.88
16,Deep Space,Orbit Bloom,ambient,focused,0.44,65,0.60,0.42,0.90
17,Fog Signal,Orbit Bloom,ambient,moody,0.32,58,0.35,0.38,0.94
18,Laser Highway,Neon Echo,synthwave,happy,0.82,115,0.80,0.78,0.18
19,Dance Floor Ghost,Neon Echo,synthwave,intense,0.90,128,0.55,0.85,0.08
20,Window Seat,Indigo Parade,indie pop,chill,0.44,105,0.68,0.58,0.42
21,Heartstrings,Indigo Parade,indie pop,sad,0.35,95,0.30,0.40,0.65
22,Salsa Nights,Fuego Trio,latin,happy,0.86,135,0.88,0.90,0.10
23,Lluvia en La Ciudad,Casa Verde,latin,sad,0.38,88,0.32,0.42,0.72
24,Ritmo Profundo,Fuego Trio,latin,intense,0.92,148,0.65,0.88,0.06
25,Thunder Bass,Max Pulse,electronic,intense,0.95,140,0.58,0.92,0.04
26,Pixel Rush,Max Pulse,electronic,happy,0.80,130,0.82,0.88,0.08
27,Static Dreams,Max Pulse,electronic,moody,0.68,112,0.42,0.72,0.15
28,Old Guitar,Paper Lanterns,acoustic,nostalgic,0.32,75,0.70,0.45,0.95
29,Porch Swing,Paper Lanterns,acoustic,chill,0.28,68,0.75,0.40,0.98
30,Empty Room,Casa Verde,acoustic,sad,0.22,62,0.25,0.30,0.97
